participant,xai,wave,n_changed,one_feature_rate,two_feature_rate,three_plus_feature_rate,edit_l1,abs_change_per_changed_feature,log_response_time,select_Glucose,select_Blood Pressure,select_Insulin,select_BMI,select_Age,median_response_time,feature_selection_entropy,modal_subset_share,global_sign_consistency,cognitive_family,alpha,eta,rho,training_direction_agreement,boundary_new,boundary_improvement,success,confidence_gain,target_centroid_progress,target_helpful_shap,cf_demo_cosine,cf_demo_feature_jaccard,attribution_feature_overlap,high_global_relevance_strategy,structure_pc1,structure_pc2,structure_pc3
R_12myev0XH9WOz3H,counterfactual,original_36,2.05,0.3,0.35,0.35,0.47003834928214994,0.23106994330989164,2.9393185957983703,0.8,0.1,0.4,0.75,0.0,19.2975,0.7463968584165345,0.3,1.0,weighted examples,,1.0,0.0,0.5,0.192296298345,-0.06941875275,0.5,0.4727554594904249,-0.1212202506820116,0.300030270105,0.1606299017276863,0.35,0.35,0,0.3009671608751239,-0.6096035527185133,-1.7133091639000437
R_156Kmlz4ECsrHQR,attribution,original_36,2.15,0.1,0.65,0.25,0.58493397835033,0.2824965700581533,2.5980637828705664,0.1,0.3,0.9,0.6,0.25,12.245000000000001,0.8626728787753463,0.4,0.8604651162790697,feature contribution,1.0,0.5,0.0,0.4833333333333333,0.1372344812699999,-0.0143569356749999,0.45,0.4216302817916211,-0.034899954016595,0.1406358330984999,0.0121909348453167,0.2875,0.2875,1,0.790558012255366,1.4215942720570898,-0.07452925812730898
R_1CKtpMfx1ihpfn1,counterfactual,new_26,3.5,0.0,0.05,0.95,1.003207106964855,0.28667699943493996,2.711790750174905,0.75,0.95,0.95,0.85,0.0,13.039,0.8585127331225678,0.55,0.0857142857142857,feature contribution,1.0,0.5,0.0,0.325,0.133175823615,-0.0102982780199999,0.3,0.2788244109718999,-0.4767026442935784,0.1999642640949999,-0.0679909513673449,0.4458333333333333,0.4458333333333333,1,2.689746801881902,-1.7869709649905212,0.2516356285326566
R_1Fh1UMJw1me9wFr,none,original_36,2.5,0.1,0.35,0.55,0.5558097662431549,0.2335499324032483,2.504762726969977,0.55,0.6,0.75,0.6,0.0,11.487,0.8570170880947721,0.2,0.12,feature contribution,0.0,0.0,0.1,1.0,0.07778198983,0.045095555765,0.75,0.6638408663149999,0.3510848694129633,0.3897004226,0.6864531701003483,0.5333333333333333,0.5333333333333333,0,1.6359468055043316,0.31254181586204977,-0.7544362500013505
R_1KMTwE2iCLDGMxz,none,original_36,1.0,1.0,0.0,0.0,0.27739721835413994,0.27739721835413994,2.805042543966114,0.35,0.05,0.15,0.45,0.0,15.6695,0.7214449276437429,0.45,0.0,weighted examples,,0.0,0.05,1.0,0.09768065142,0.025196894175,0.3,0.3291364437292999,0.1330779171076199,0.246777054105,0.4224287698895315,0.3,0.3,0,-1.9703709546036496,-0.04845397963109587,-0.7528588702895768
R_1QfQiW4jahDRgtB,attribution,original_36,1.0,1.0,0.0,0.0,0.27719120219059995,0.27719120219059995,2.473267176599724,0.2,0.15,0.0,0.65,0.0,10.907499999999999,0.5507913469859276,0.65,1.0,weighted examples,,1.0,0.05,0.5,0.1139823546299999,0.0088951909649999,0.45,0.4273004105785,-0.1022968365921466,0.162892837045,0.1086104800832393,0.175,0.175,0,-3.150750167208694,-1.1598104262564337,-0.3673556792824454
R_1ReJOex9cmkqbNa,counterfactual,original_36,1.6,0.45,0.5,0.05,0.39800774942043,0.23668936685337333,3.1777598180757316,0.85,0.2,0.3,0.25,0.0,20.6735,0.7455242200161087,0.4,0.125,weighted examples,,1.0,0.1,1.025,0.1556810610049999,-0.03280351541,0.55,0.5729207139879333,-0.0104451142713866,0.28765315589,0.3372249480144893,0.2458333333333333,0.2458333333333333,0,-0.8179551280345101,-0.32046155781974,-0.6190596602917142
R_1TZbMIIo6RtFnsb,attribution,original_36,2.05,0.25,0.5,0.25,0.607718872366655,0.29677355547558,2.507976593937866,0.45,0.35,0.65,0.6,0.0,12.067499999999999,0.8440583680391422,0.25,0.1219512195121951,feature contribution,0.0,0.5,0.15,1.0,0.10487163599,0.018005909605,0.55,0.54798260324,0.3019068265813266,0.3522775138799999,0.6275028516428516,0.4708333333333333,0.4708333333333333,0,0.8867122867208721,0.1853017282289676,-0.8123278664340364
R_1WAqgPTkRSdmI9W,counterfactual,original_36,2.5,0.2,0.25,0.55,0.740634686009905,0.30408703078850585,2.636266858486177,0.05,0.5,1.0,0.2,0.75,12.775500000000001,0.8263098923624617,0.35,0.36,feature contribution,1.0,0.0,0.2,0.95,0.1676205446,-0.044742999005,0.85,0.8085433565547501,0.2628870390699549,0.52769530341,0.2521560253121759,0.2625,0.2625,1,1.3427672612365682,3.1604370306666008,2.6048228875200867
R_1bN1m4OYZIanJ5K,none,new_26,1.55,0.5,0.45,0.05,0.3274691878822,0.23894197486117497,2.1808676319551377,0.05,0.7,0.4,0.4,0.0,8.334499999999998,0.7262751190979447,0.3,0.0967741935483871,feature contribution,0.0,0.0,0.0,1.0,0.086650069465,0.03622747613,0.6,0.615700488065,0.2391357690337832,0.23206177198,0.5635411213183967,0.4291666666666667,0.4291666666666667,0,-0.9166130625104629,0.684158810126576,0.22749269996890037
R_1hF6UnZQsvvwBCX,counterfactual,original_36,2.3,0.3,0.3,0.4,0.36217757311102494,0.17673937743717166,1.6961890661498458,0.7,0.65,0.6,0.35,0.0,5.7059999999999995,0.8426667182058954,0.2,0.0434782608695652,weighted examples,,0.0,0.0,0.7083333333333333,0.062973853045,0.05990369255,0.7,0.58858550165739,0.1921953096083883,0.31896288799,0.3813901936352637,0.4,0.4,0,1.0270861384012675,0.5768180388582835,-0.546558477250838
R_1ihbKBZG0EAXF8D,counterfactual,original_36,2.05,0.0,0.95,0.05,0.47910472836845497,0.23498097428224413,2.4367080352779844,0.55,0.3,0.55,0.65,0.0,11.5195,0.8396790057447613,0.3,0.024390243902439,feature contribution,0.0,0.5,0.05,1.0,0.09228532526,0.0305922203349999,0.55,0.5452308441579226,0.3066763510370183,0.40125822669,0.5680977863468988,0.5333333333333333,0.5333333333333333,0,0.6140629258764042,0.12262213727182023,-1.2147407204233736
