participant,xai,reasoning strategy,cognitive model family,explanation reliance eta,global relevance reliance alpha,additive change margin rho,participant training accuracy,mean changed features,rows,participants,mean boundary distance new,median boundary distance new,mean boundary distance change (new - original),success rate,target-directed rate,mean normalized edit distance,mean target confidence gain,mean abs normalized change: glucose,mean abs normalized change: blood_pressure,mean abs normalized change: insulin,mean abs normalized change: bmi,mean abs normalized change: age
R_6dM4kpwwdD2TmDK,none,,weighted examples,0.0,,0.0,0.583333333333,2.5,20,1,0.062011980345791105,0.047834272053149995,-0.06086556525248451,0.55,0.9,0.441755790947985,0.5238461652030286,0.16026186022788003,0.061956521739105,0.074857708488,0.129814835628005,0.014864864864854999
R_1hF6UnZQsvvwBCX,counterfactual,,weighted examples,0.0,,0.0,0.666666666667,2.3,20,1,0.0629738530502995,0.038973306367,-0.05990369254799501,0.7,0.9,0.36217757311132004,0.5885855016641335,0.14198265601100252,0.09130434782607,0.073414171409715,0.05547639786456501,0.0
R_6upJU84Jtf3Faf5,none,,weighted examples,0.0,,0.0,0.916666666667,1.85,20,1,0.07144395262029499,0.07111069721155,-0.051433592977982,0.4,0.9,0.406395875039365,0.45177516502663356,0.09012072776744999,0.032608695652165,0.06434050977485,0.08689350941275,0.132432432432305
R_7QQowZQ43kZcCj7,counterfactual,,feature contribution,1.0,0.5,0.1,0.416666666667,1.7,20,1,0.07734927809822975,0.04462774524595,-0.04552826750005715,0.5,0.95,0.511297034303885,0.5086170836532233,0.18746811766707752,0.09239130434779,0.1194011383321,0.08906350098344999,0.022972972972955
R_1Fh1UMJw1me9wFr,none,,feature contribution,0.0,0.0,0.1,0.416666666667,2.5,20,1,0.07778198983411069,0.054773843276,-0.045095555764225,0.75,0.95,0.5558097662434001,0.6638408662943901,0.17216459785750002,0.11521739130435497,0.13600181473227496,0.13242596234898,0.0
R_6R9HRjc1dD88yPW,none,,weighted examples,0.0,,0.0,0.666666666667,1.0,20,1,0.08026373791562444,0.0607740348144,-0.0426138076826747,0.3,0.85,0.15782434789614502,0.20235702523835677,0.11435130079919001,0.00978260869565,0.0,0.009366114077,0.024324324324304997
R_1jEfVgE4WoI6fVO,attribution,,weighted examples,0.0,,0.0,0.75,1.0,20,1,0.08084215697982303,0.05748553528825,-0.0420353886184915,0.45,0.75,0.2716359899235,0.41370386724444047,0.17726577112735,0.0195652173913,0.0,0.024805001404900003,0.049999999999949994
R_1vbS8BCLvmrwGHr,attribution,,feature contribution,1.0,0.0,0.1,0.5,1.7,20,1,0.0833059017394895,0.06529451980074999,-0.0395716438588225,0.55,0.95,0.4376215131002499,0.5682071034760544,0.09692229212715,0.13260869565209998,0.0425843438093,0.1655061815117,0.0
R_5tEkygPCjFKzz2T,counterfactual,,weighted examples,1.0,,0.05,0.666666666667,2.55,20,1,0.08392337314615501,0.07449464533565,-0.038954172452190294,0.6,0.9,0.38576148970871504,0.5923318755350242,0.09649719435476499,0.081521739130435,0.050111358574655,0.13871227873004002,0.0189189189189
R_5faag2PFpaGyI6V,counterfactual,,weighted examples,0.5,,0.0,0.583333333333,3.45,20,1,0.08535400085185998,0.04413103499775,-0.03752354474647669,0.4,0.85,0.6542550072483,0.4249732262299181,0.33837782690023005,0.09565217391306,0.062381423739959994,0.13487060972186,0.022972972972960002
R_1bN1m4OYZIanJ5K,none,,feature contribution,0.0,0.0,0.0,0.75,1.55,20,1,0.08665006946398252,0.0895406823073,-0.03622747613435901,0.6,0.9,0.3274691878822,0.6157004880642669,0.0131780309471,0.15326086956517998,0.04701806483543,0.11401222253444998,0.0
R_7dLdPi0fchuvKbu,counterfactual,,feature contribution,0.5,0.5,0.0,0.75,2.1,20,1,0.09157436915597103,0.08781461389209999,-0.031303176442367006,0.5,0.9,0.3824691159337,0.5056012746218153,0.07099132800545001,0.11521739130431,0.10249113255793,0.07079629109298,0.02297297297295
R_1ihbKBZG0EAXF8D,counterfactual,,feature contribution,0.5,0.0,0.05,0.75,2.05,20,1,0.09228532526360349,0.079905040173,-0.030592220334761,0.55,0.95,0.4791047283685999,0.5452308441429966,0.15303519809552998,0.06847826086955,0.10125381506231998,0.15633745434115,0.0
R_6ltB5PoMoQ8gakx,counterfactual,,feature contribution,0.5,0.0,0.1,0.666666666667,2.6,20,1,0.09259802195872499,0.0921552163408,-0.030279523639475496,0.55,0.9,0.63273921224671,0.5267568363912709,0.22912769937093,0.06413043478256,0.22807885836845299,0.111402219724725,0.0
